user,item,rating,companion:alone,companion:family,companion:na,companion:partner,location:cinema,location:home,location:na,time:na,time:weekday,time:weekend
1123,tt1499658,2,0,0,1,0,0,0,1,1,0,0
1123,tt0405422,4,0,0,1,0,0,0,1,1,0,0
1123,tt0109830,5,0,0,1,0,0,0,1,1,0,0
1123,tt0088763,3,0,0,1,0,0,0,1,1,0,0
1123,tt0133093,3,0,0,1,0,0,0,1,1,0,0
1090,tt0800369,3,0,0,1,0,0,0,1,1,0,0
1090,tt0407304,2,0,0,1,0,0,0,1,1,0,0
1090,tt0266543,4,0,0,1,0,0,0,1,1,0,0
1090,tt1632708,4,0,0,1,0,0,0,1,1,0,0
1090,tt4052394,3,0,0,1,0,0,0,1,1,0,0
1090,tt1596343,2,0,0,1,0,0,0,1,1,0,0
1090,tt2574698,2,0,0,1,0,0,0,1,1,0,0
1090,tt0454848,2,0,0,1,0,0,0,1,1,0,0
1088,tt0405422,4,0,0,1,0,0,0,1,1,0,0
1088,tt0378194,4,0,0,1,0,0,0,1,1,0,0
1088,tt0211915,5,0,0,1,0,0,0,1,1,0,0
1088,tt0169547,5,0,0,1,0,0,0,1,1,0,0
1088,tt0133093,5,0,0,1,0,0,0,1,1,0,0
1110,tt0454876,3,0,0,1,0,0,0,1,1,0,0
1110,tt0181689,3,0,0,1,0,0,0,1,1,0,0
1110,tt0120912,3,0,0,1,0,0,0,1,1,0,0
1110,tt0356910,3,0,0,1,0,0,0,1,1,0,0
1110,tt3637328,3,0,0,1,0,0,0,1,1,0,0
1110,tt1657301,3,0,0,1,0,0,0,1,1,0,0
1110,tt0319262,3,0,0,1,0,0,0,1,1,0,0
1017,tt1190080,5,0,0,1,0,0,0,1,1,0,0
1017,tt1369829,5,0,0,1,0,0,0,1,1,0,0
1017,tt0454876,5,0,0,1,0,0,0,1,1,0,0
1017,tt0181689,5,0,0,1,0,0,0,1,1,0,0
1017,tt0120912,5,0,0,1,0,0,0,1,1,0,0
1021,tt0454876,4,0,0,1,0,0,0,1,1,0,0
1021,tt0319262,4,0,0,1,0,0,0,1,1,0,0
1021,tt0120338,5,0,0,1,0,0,0,1,1,0,0
1021,tt0289879,4,0,0,1,0,0,0,1,1,0,0
1021,tt1099212,5,0,0,1,0,0,0,1,1,0,0
1021,tt0114148,2,0,0,1,0,0,0,1,1,0,0
1021,tt0088763,2,0,0,1,0,0,0,1,1,0,0
1021,tt0110475,2,0,0,1,0,0,0,1,1,0,0
1095,tt2096673,5,0,0,1,0,0,0,1,1,0,0
1095,tt0111161,5,0,0,1,0,0,0,1,1,0,0
1095,tt0147800,5,0,0,1,0,0,0,1,1,0,0
1095,tt1478338,5,0,0,1,0,0,0,1,1,0,0
1095,ttnanana2,4,0,0,1,0,0,0,1,1,0,0
1095,tt3254460,1,0,0,1,0,0,0,1,1,0,0
1095,tt2557490,1,0,0,1,0,0,0,1,1,0,0
1095,tt1924435,1,0,0,1,0,0,0,1,1,0,0
1095,tt0138097,1,0,0,1,0,0,0,1,1,0,0
1095,tt3510098,1,0,0,1,0,0,0,1,1,0,0
1106,tt1657301,4,0,0,1,0,0,0,1,1,0,0
1106,tt0319262,5,0,0,1,0,0,0,1,1,0,0
1106,tt3793764,5,0,0,1,0,0,0,1,1,0,0
1106,tt0800369,5,0,0,1,0,0,0,1,1,0,0
1106,tt0407304,4,0,0,1,0,0,0,1,1,0,0
1106,tt0120912,2,0,0,1,0,0,0,1,1,0,0
1106,tt0356910,2,0,0,1,0,0,0,1,1,0,0
1106,tt3637328,2,0,0,1,0,0,0,1,1,0,0
1102,tt0181689,4,0,0,1,0,0,0,1,1,0,0
1102,tt1657301,4,0,0,1,0,0,0,1,1,0,0
1102,tt0319262,5,0,0,1,0,0,0,1,1,0,0
1102,tt0800369,5,0,0,1,0,0,0,1,1,0,0
1102,tt0268380,4,0,0,1,0,0,0,1,1,0,0
1102,tt3637328,3,0,0,1,0,0,0,1,1,0,0
1102,tt0266543,3,0,0,1,0,0,0,1,1,0,0
1102,tt0327084,3,0,0,1,0,0,0,1,1,0,0
1117,tt3254460,3,0,0,1,0,0,0,1,1,0,0
1117,tt0110357,4,0,0,1,0,0,0,1,1,0,0
1117,tt0462538,4,0,0,1,0,0,0,1,1,0,0
1117,tt0405422,5,0,0,1,0,0,0,1,1,0,0
1117,tt1707386,4,0,0,1,0,0,0,1,1,0,0
1117,tt0120338,5,0,0,1,0,0,0,1,1,0,0
1117,tt3510098,4,0,0,1,0,0,0,1,1,0,0
1117,tt1375666,5,0,0,1,0,0,0,1,1,0,0
1117,tt0133093,5,0,0,1,0,0,0,1,1,0,0
1091,tt3793764,3,0,0,1,0,0,0,1,1,0,0
1091,tt2096673,4,0,0,1,0,0,0,1,1,0,0
1091,tt0462538,3,0,0,1,0,0,0,1,1,0,0
1091,tt0114369,5,0,0,1,0,0,0,1,1,0,0
1091,tt0111161,5,0,0,1,0,0,0,1,1,0,0
1091,tt0993846,4,0,0,1,0,0,0,1,1,0,0
1091,tt0088763,4,0,0,1,0,0,0,1,1,0,0
1091,tt0289879,3,0,0,1,0,0,0,1,1,0,0
1091,tt3637328,1,0,0,1,0,0,0,1,1,0,0
1091,tt0407304,2,0,0,1,0,0,0,1,1,0,0
1091,tt1924435,1,0,0,1,0,0,0,1,1,0,0
1091,tt0382625,1,0,0,1,0,0,0,1,1,0,0
1091,tt0376541,2,0,0,1,0,0,0,1,1,0,0
1091,tt0120338,2,0,0,1,0,0,0,1,1,0,0
1091,tt1133985,1,0,0,1,0,0,0,1,1,0,0
1091,tt1099212,1,0,0,1,0,0,0,1,1,0,0
1025,tt0213149,5,0,0,1,0,0,0,1,1,0,0
1025,tt0413267,5,0,0,1,0,0,0,1,1,0,0
1025,tt4411490,5,0,0,1,0,0,0,1,1,0,0
1025,tt0382625,5,0,0,1,0,0,0,1,1,0,0
1025,tt0147800,5,0,0,1,0,0,0,1,1,0,0
1025,tt0109830,5,0,0,1,0,0,0,1,1,0,0
1025,tt0088763,5,0,0,1,0,0,0,1,1,0,0
1025,tt0133093,4,0,0,1,0,0,0,1,1,0,0
1025,tt0800369,2,0,0,1,0,0,0,1,1,0,0
1025,ttnanana1,2,0,0,1,0,0,0,1,1,0,0
1025,tt0211915,1,0,0,1,0,0,0,1,1,0,0
1025,tt1707386,1,0,0,1,0,0,0,1,1,0,0
1025,tt4052394,1,0,0,1,0,0,0,1,1,0,0
1025,tt1055369,1,0,0,1,0,0,0,1,1,0,0
1108,tt0181689,5,0,0,1,0,0,0,1,1,0,0
1108,tt0356910,5,0,0,1,0,0,0,1,1,0,0
1108,tt3254460,5,0,0,1,0,0,0,1,1,0,0
